STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,STCOU,Square Miles,PPM2,Lon,Lat,State Pop,Infected,IPCT,Total Miles,StatePPM2,#VALUE!,IPCT3,219.9047651
1,1,Alabama,Autauga County,11,0,55601,1001,604.49,91.98001621,32.536382,-86.64449,4779736,2838,0.000593757,52422.94,91.17642009,0.000596367,0.000595062,
1,3,Alabama,Baldwin County,11,0,218022,1003,2027.08,107.5547092,30.659218,-87.746067,4779736,2838,0.000593757,52422.94,91.17642009,0.000644884,0.000619321,
1,5,Alabama,Barbour County,11,0,24881,1005,904.59,27.50527863,31.87067,-85.405456,4779736,2838,0.000593757,52422.94,91.17642009,0.000326118,0.000459937,
1,7,Alabama,Bibb County,11,0,22400,1007,625.5,35.81135092,33.015893,-87.127148,4779736,2838,0.000593757,52422.94,91.17642009,0.000372115,0.000482936,
1,9,Alabama,Blount County,11,0,57840,1009,650.65,88.89571966,33.977448,-86.567246,4779736,2838,0.000593757,52422.94,91.17642009,0.000586283,0.00059002,
1,11,Alabama,Bullock County,11,0,10138,1011,626.11,16.19204293,32.101759,-85.717261,4779736,2838,0.000593757,52422.94,91.17642009,0.000250218,0.000421987,
1,13,Alabama,Butler County,11,0,19680,1013,777.99,25.29595496,31.751667,-86.681969,4779736,2838,0.000593757,52422.94,91.17642009,0.000312747,0.000453252,
1,15,Alabama,Calhoun County,11,0,114277,1015,612.35,186.6203968,33.771706,-85.822513,4779736,2838,0.000593757,52422.94,91.17642009,0.000849467,0.000721612,
1,17,Alabama,Chambers County,11,0,33615,1017,603.15,55.73240487,32.917943,-85.391812,4779736,2838,0.000593757,52422.94,91.17642009,0.000464217,0.000528987,
1,19,Alabama,Cherokee County,11,0,26032,1019,600,43.38666667,34.069515,-85.654242,4779736,2838,0.000593757,52422.94,91.17642009,0.000409586,0.000501671,
1,21,Alabama,Chilton County,11,0,44153,1021,700.8,63.00371005,32.85406,-86.726628,4779736,2838,0.000593757,52422.94,91.17642009,0.000493572,0.000543664,
1,23,Alabama,Choctaw County,11,0,12841,1023,920.91,13.94381644,31.991008,-88.248887,4779736,2838,0.000593757,52422.94,91.17642009,0.000232198,0.000412977,
1,25,Alabama,Clarke County,11,0,23920,1025,1252.6,19.09627974,31.685521,-87.818624,4779736,2838,0.000593757,52422.94,91.17642009,0.000271733,0.000432745,
1,27,Alabama,Clay County,11,0,13275,1027,606.05,21.90413332,33.267809,-85.862051,4779736,2838,0.000593757,52422.94,91.17642009,0.000291025,0.000442391,
1,29,Alabama,Cleburne County,11,0,14987,1029,561.06,26.71193812,33.671981,-85.516109,4779736,2838,0.000593757,52422.94,91.17642009,0.000321381,0.000457569,
1,31,Alabama,Coffee County,11,0,51909,1031,680.52,76.27843414,31.402183,-85.989201,4779736,2838,0.000593757,52422.94,91.17642009,0.000543085,0.000568421,
1,33,Alabama,Colbert County,11,0,54762,1033,623.66,87.80745919,34.703112,-87.801457,4779736,2838,0.000593757,52422.94,91.17642009,0.000582684,0.00058822,
1,35,Alabama,Conecuh County,11,0,12277,1035,852.58,14.39982172,31.428293,-86.992029,4779736,2838,0.000593757,52422.94,91.17642009,0.000235964,0.00041486,
1,37,Alabama,Coosa County,11,0,10715,1037,666.41,16.0786903,32.931445,-86.243482,4779736,2838,0.000593757,52422.94,91.17642009,0.00024934,0.000421548,
1,39,Alabama,Covington County,11,0,36986,1039,1043.95,35.42889985,31.243987,-86.448721,4779736,2838,0.000593757,52422.94,91.17642009,0.000370123,0.00048194,
1,41,Alabama,Crenshaw County,11,0,13824,1041,610.91,22.62853776,31.732826,-86.319222,4779736,2838,0.000593757,52422.94,91.17642009,0.000295798,0.000444777,
1,43,Alabama,Cullman County,11,0,83442,1043,754.86,110.5397027,34.131923,-86.869267,4779736,2838,0.000593757,52422.94,91.17642009,0.000653772,0.000623764,
1,45,Alabama,Dale County,11,0,48956,1045,562.72,86.99886267,31.430654,-85.609476,4779736,2838,0.000593757,52422.94,91.17642009,0.000579995,0.000586876,
1,47,Alabama,Dallas County,11,0,38310,1047,993.46,38.56219677,32.33354,-87.114356,4779736,2838,0.000593757,52422.94,91.17642009,0.000386143,0.00048995,
1,49,Alabama,DeKalb County,11,0,71385,1049,778.71,91.67084024,34.460929,-85.803992,4779736,2838,0.000593757,52422.94,91.17642009,0.000595364,0.00059456,
1,51,Alabama,Elmore County,11,0,81887,1051,657.26,124.5884429,32.597229,-86.142739,4779736,2838,0.000593757,52422.94,91.17642009,0.000694075,0.000643916,
1,53,Alabama,Escambia County,11,0,36748,1053,953.04,38.55871737,31.121748,-87.168429,4779736,2838,0.000593757,52422.94,91.17642009,0.000386126,0.000489941,
1,55,Alabama,Etowah County,11,0,102501,1055,548.81,186.7695559,34.047638,-86.03442,4779736,2838,0.000593757,52422.94,91.17642009,0.000849807,0.000721782,
1,57,Alabama,Fayette County,11,0,16433,1057,629.38,26.10982236,33.732249,-87.752049,4779736,2838,0.000593757,52422.94,91.17642009,0.000317738,0.000455747,
1,59,Alabama,Franklin County,11,0,31363,1059,646.55,48.50823602,34.441988,-87.842815,4779736,2838,0.000593757,52422.94,91.17642009,0.000433087,0.000513422,
1,61,Alabama,Geneva County,11,0,26314,1061,578.96,45.4504629,31.090866,-85.824346,4779736,2838,0.000593757,52422.94,91.17642009,0.000419215,0.000506486,
1,63,Alabama,Greene County,11,0,8233,1063,659.99,12.47443143,32.844497,-87.964201,4779736,2838,0.000593757,52422.94,91.17642009,0.000219623,0.00040669,
1,65,Alabama,Hale County,11,0,14726,1065,656.52,22.43039054,32.752796,-87.623061,4779736,2838,0.000593757,52422.94,91.17642009,0.0002945,0.000444128,
1,67,Alabama,Henry County,11,0,17209,1067,568.38,30.27727928,31.516978,-85.239971,4779736,2838,0.000593757,52422.94,91.17642009,0.000342157,0.000467957,
1,69,Alabama,Houston County,11,0,104722,1069,581.71,180.0244108,31.158193,-85.296398,4779736,2838,0.000593757,52422.94,91.17642009,0.00083432,0.000714039,
1,71,Alabama,Jackson County,11,0,51736,1071,1126.82,45.91327807,34.763522,-85.9774,4779736,2838,0.000593757,52422.94,91.17642009,0.000421344,0.00050755,
1,73,Alabama,Jefferson County,11,0,659300,1073,1123.87,586.6336854,33.553444,-86.896536,4779736,2838,0.000593757,52422.94,91.17642009,0.001506089,0.001049923,
1,75,Alabama,Lamar County,11,0,13844,1075,605.51,22.86337137,33.787085,-88.087431,4779736,2838,0.000593757,52422.94,91.17642009,0.000297329,0.000445543,
1,77,Alabama,Lauderdale County,11,0,92387,1077,718.84,128.5223416,34.904122,-87.650997,4779736,2838,0.000593757,52422.94,91.17642009,0.000704947,0.000649352,
1,79,Alabama,Lawrence County,11,0,32957,1079,718.13,45.89280492,34.529776,-87.321865,4779736,2838,0.000593757,52422.94,91.17642009,0.00042125,0.000507503,
1,81,Alabama,Lee County,11,0,163941,1081,615.61,266.3065902,32.604064,-85.353048,4779736,2838,0.000593757,52422.94,91.17642009,0.001014748,0.000804252,
1,83,Alabama,Limestone County,11,0,96174,1083,607.12,158.410199,34.810239,-86.9814,4779736,2838,0.000593757,52422.94,91.17642009,0.000782634,0.000688195,
1,85,Alabama,Lowndes County,11,0,9974,1085,725.09,13.7555338,32.147888,-86.650586,4779736,2838,0.000593757,52422.94,91.17642009,0.000230625,0.000412191,
1,87,Alabama,Macon County,11,0,18439,1087,613.29,30.06571116,32.387027,-85.692887,4779736,2838,0.000593757,52422.94,91.17642009,0.00034096,0.000467358,
1,89,Alabama,Madison County,11,0,366519,1089,812.89,450.8838834,34.764238,-86.55108,4779736,2838,0.000593757,52422.94,91.17642009,0.001320382,0.000957069,
